    45	0.06160	0.00137	  1320	0.06023	0.00005	 0.58418	 0.41975	-4.31099	 6.04976	-61.95786	-44.51902
    46	0.06297	0.00137	  1320	0.06023	0.00005	 0.58418	 0.41975	-4.31099	 6.04976	-61.95786	-44.51902
    47	0.06434	0.00137	  1410	0.06434	0.00005	 0.56595	 0.44421	-4.56145	 5.86162	-59.99439	-47.08924
    48	0.06571	0.00137	  1410	0.06434	0.00005	 0.56595	 0.44421	-4.56145	 5.86162	-59.99439	-47.08924
    49	0.06708	0.00137	  1410	0.06434	0.00005	 0.56595	 0.44421	-4.56145	 5.86162	-59.99439	-47.08924
    50	0.06845	0.00137	  1500	0.06845	0.00005	 0.54672	 0.46788	-4.80361	 5.66311	-57.92409	-49.57125
    51	0.06982	0.00137	  1500	0.06845	0.00005	 0.54672	 0.46788	-4.80361	 5.66311	-57.92409	-49.57125
    52	0.07118	0.00137	  1500	0.06845	0.00005	 0.54672	 0.46788	-4.80361	 5.66311	-57.92409	-49.57125
    53	0.07255	0.00137	  1590	0.07255	0.00005	 0.52651	 0.49072	-5.03707	 5.45459	-55.75105	-51.96061
    54	0.07392	0.00137	  1590	0.07255	0.00005	 0.52651	 0.49072	-5.03707	 5.45459	-55.75105	-51.96061
    55	0.07529	0.00137	  1590	0.07255	0.00005	 0.52651	 0.49072	-5.03707	 5.45459	-55.75105	-51.96061
    56	0.07666	0.00137	  1680	0.07666	0.00005	 0.50536	 0.51267	-5.26139	 5.23646	-53.47957	-54.25306
    57	0.07803	0.00137	  1680	0.07666	0.00005	 0.50536	 0.51267	-5.26139	 5.23646	-53.47957	-54.25306
    58	0.07940	0.00137	  1680	0.07666	0.00005	 0.50536	 0.51267	-5.26139	 5.23646	-53.47957	-54.25306
    59	0.08077	0.00137	  1770	0.08077	0.00005	 0.48331	 0.53371	-5.47620	 5.00912	-51.11412	-56.44456
    60	0.08214	0.00137	  1770	0.08077	0.00005	 0.48331	 0.53371	-5.47620	 5.00912	-51.11412	-56.44456
    61	0.08350	0.00137	  1770	0.08077	0.00005	 0.48331	 0.53371	-5.47620	 5.00912	-51.11412	-56.44456
    62	0.08487	0.00137	  1860	0.08487	0.00005	 0.46040	 0.55380	-5.68110	 4.77299	-48.65930	-58.53130
    63	0.08624	0.00137	  1860	0.08487	0.00005	 0.46040	 0.55380	-5.68110	 4.77299	-48.65930	-58.53130
    64	0.08761	0.00137	  1860	0.08487	0.00005	 0.46040	 0.55380	-5.68110	 4.77299	-48.65930	-58.53130
    65	0.08898	0.00137	  1950	0.08898	0.00005	 0.43666	 0.57290	-5.87575	 4.52851	-46.11991	-60.50967
    66	0.09035	0.00137	  1950	0.08898	0.00005	 0.43666	 0.57290	-5.87575	 4.52851	-46.11991	-60.50967
    67	0.09172	0.00137	  1950	0.08898	0.00005	 0.43666	 0.57290	-5.87575	 4.52851	-46.11991	-60.50967
    68	0.09309	0.00137	  2040	0.09309	0.00005	 0.41215	 0.59099	-6.05980	 4.27614	-43.50087	-62.37630
    69	0.09446	0.00137	  2040	0.09309	0.00005	 0.41215	 0.59099	-6.05980	 4.27614	-43.50087	-62.37630
    70	0.09582	0.00137	  2040	0.09309	0.00005	 0.41215	 0.59099	-6.05980	 4.27614	-43.50087	-62.37630
    71	0.09719	0.00137	  2130	0.09719	0.00005	 0.38690	 0.60802	-6.23294	 4.01634	-40.80722	-64.12806
    72	0.09856	0.00137	  2130	0.09719	0.00005	 0.38690	 0.60802	-6.23294	 4.01634	-40.80722	-64.12806
